"","home","away","p_home","p_draw","p_away"
"1","Aston Villa","Celtic",0.652173913043478,0.217391304347826,0.130434782608696
"2","Barcelona","Atalanta",0.555555555555556,0.230769230769231,0.213675213675214
"3","Bayer 04 Leverkusen","Sparta Prague",0.875,0.105263157894737,0.0197368421052632
"4","Bayern Munich","Slovan Bratislava",0.970588235294118,0.0277777777777778,0.00163398692810457
"5","Borussia Dortmund","Shakhtar Donetsk",0.714285714285714,0.181818181818182,0.103896103896104
"6","Brest","Real Madrid",0.125,0.181818181818182,0.693181818181818
"7","Dinamo Zagreb","AC Milan",0.173913043478261,0.210526315789474,0.615560640732265
"8","Girona","Arsenal",0.2,0.230769230769231,0.569230769230769
"9","Inter Milan","Monaco",0.6,0.238095238095238,0.161904761904762
"10","Juventus","Benfica",0.416666666666667,0.294117647058824,0.28921568627451
"11","Lille","Feyenoord",0.496296296296296,0.263157894736842,0.240545808966862
"12","Manchester City","Club Brugge",0.833333333333333,0.117647058823529,0.0490196078431372
"13","PSV Eindhoven","Liverpool",0.339285714285714,0.263157894736842,0.397556390977444
"14","Salzburg","Atlético Madrid",0.111111111111111,0.19047619047619,0.698412698412698
"15","SK Sturm Graz","RB Leipzig",0.277777777777778,0.263157894736842,0.45906432748538
"16","Sporting Lisbon","Bologna",0.6875,0.2,0.1125
"17","VfB Stuttgart","Paris St Germain",0.27027027027027,0.37037037037037,0.359359359359359
"18","Young Boys","Crvena Zvezda",0.384615384615385,0.262295081967213,0.353089533417402
