"","index","fulltime","perc","frequency","home","away"
"1",1,"1 - 1","11.0 %",32477,1,1
"2",2,"1 - 0","10.5 %",30825,1,0
"3",3,"2 - 1","8.5 %",24972,2,1
"4",4,"0 - 0","7.7 %",22714,0,0
"5",5,"0 - 1","7.4 %",21728,0,1
"6",6,"2 - 0","7.3 %",21609,2,0
"7",7,"1 - 2","6.3 %",18590,1,2
"8",8,"2 - 2","4.7 %",13839,2,2
"9",9,"0 - 2","4.4 %",12955,0,2
"10",10,"3 - 0","4.3 %",12645,3,0
"11",11,"3 - 1","4.2 %",12489,3,1
"12",12,"1 - 3","2.7 %",7876,1,3
"13",13,"3 - 2","2.5 %",7487,3,2
"14",14,"0 - 3","2.3 %",6798,0,3
"15",15,"4 - 0","2.0 %",5782,4,0
"16",16,"2 - 3","1.9 %",5711,2,3
"17",17,"4 - 1","1.8 %",5375,4,1
"18",18,"1 - 4","1.0 %",2954,1,4
"19",19,"4 - 2","1.0 %",2909,4,2
"20",20,"3 - 3","1.0 %",2907,3,3
"21",21,"0 - 4","0.9 %",2692,0,4
"22",22,"5 - 0","0.8 %",2469,5,0
"23",23,"5 - 1","0.7 %",2064,5,1
"24",24,"2 - 4","0.7 %",1981,2,4
"25",25,"4 - 3","0.4 %",1200,4,3
"26",26,"0 - 5","0.4 %",1131,0,5
"27",27,"5 - 2","0.4 %",1125,5,2
"28",28,"1 - 5","0.4 %",1106,1,5
"29",29,"6 - 0","0.3 %",1031,6,0
"30",30,"3 - 4","0.3 %",917,3,4
"31",31,"6 - 1","0.3 %",784,6,1
"32",32,"2 - 5","0.2 %",678,2,5
"33",33,"7 - 0","0.2 %",457,7,0
"34",34,"0 - 6","0.2 %",446,0,6
"35",35,"1 - 6","0.1 %",389,1,6
"36",36,"4 - 4","0.1 %",386,4,4
"37",37,"6 - 2","0.1 %",379,6,2
"38",38,"5 - 3","0.1 %",379,5,3
"39",39,"7 - 1","0.1 %",287,7,1
"40",40,"3 - 5","0.1 %",246,3,5
"41",41,"8 - 0","0.1 %",195,8,0
"42",42,"0 - 7","0.1 %",191,0,7
"43",43,"2 - 6","0.1 %",182,2,6
"44",44,"1 - 7","0.0 %",131,1,7
"45",45,"6 - 3","0.0 %",128,6,3
"46",46,"7 - 2","0.0 %",118,7,2
"47",47,"5 - 4","0.0 %",118,5,4
"48",48,"8 - 1","0.0 %",116,8,1
"49",49,"4 - 5","0.0 %",115,4,5
"50",50,"3 - 6","0.0 %",97,3,6
"51",51,"9 - 0","0.0 %",94,9,0
"52",52,"0 - 8","0.0 %",76,0,8
"53",53,"2 - 7","0.0 %",63,2,7
"54",54,"1 - 8","0.0 %",47,1,8
"55",55,"8 - 2","0.0 %",44,8,2
"56",56,"7 - 3","0.0 %",44,7,3
"57",57,"0 - 9","0.0 %",42,0,9
"58",58,"9 - 1","0.0 %",40,9,1
"59",59,"6 - 4","0.0 %",39,6,4
"60",60,"5 - 5","0.0 %",29,5,5
"61",61,"4 - 6","0.0 %",26,4,6
"62",62,"3 - 7","0.0 %",26,3,7
"63",63,"9 - 2","0.0 %",22,9,2
"64",64,"2 - 8","0.0 %",18,2,8
"65",65,"10 - 0","0.0 %",16,10,0
"66",66,"1 - 9","0.0 %",16,1,9
"67",67,"7 - 4","0.0 %",13,7,4
"68",68,"5 - 6","0.0 %",12,5,6
"69",69,"8 - 3","0.0 %",11,8,3
"70",70,"6 - 5","0.0 %",10,6,5
"71",71,"0 - 10","0.0 %",8,0,10
"72",72,"5 - 7","0.0 %",8,5,7
"73",73,"4 - 7","0.0 %",8,4,7
"74",74,"9 - 3","0.0 %",7,9,3
"75",75,"3 - 8","0.0 %",7,3,8
"76",76,"12 - 0","0.0 %",5,12,0
"77",77,"11 - 0","0.0 %",5,11,0
"78",78,"2 - 9","0.0 %",5,2,9
"79",79,"8 - 4","0.0 %",4,8,4
"80",80,"10 - 2","0.0 %",3,10,2
"81",81,"6 - 6","0.0 %",3,6,6
"82",82,"0 - 11","0.0 %",3,0,11
"83",83,"10 - 1","0.0 %",3,10,1
"84",84,"2 - 11","0.0 %",2,2,11
"85",85,"13 - 1","0.0 %",2,13,1
"86",86,"4 - 8","0.0 %",2,4,8
"87",87,"14 - 0","0.0 %",2,14,0
"88",88,"13 - 0","0.0 %",2,13,0
"89",89,"2 - 10","0.0 %",1,2,10
"90",90,"1 - 10","0.0 %",1,1,10
"91",91,"11 - 1","0.0 %",1,11,1
"92",92,"12 - 1","0.0 %",1,12,1
"93",93,"1 - 13","0.0 %",1,1,13
"94",94,"6 - 7","0.0 %",1,6,7
"95",95,"9 - 5","0.0 %",1,9,5
"96",96,"5 - 8","0.0 %",1,5,8
"97",97,"7 - 5","0.0 %",1,7,5
"98",98,"1 - 12","0.0 %",1,1,12
"99",99,"16 - 0","0.0 %",1,16,0
"100",100,"0 - 15","0.0 %",1,0,15
"101",101,"1 - 11","0.0 %",1,1,11
"102",102,"11 - 2","0.0 %",1,11,2
"103",103,"3 - 10","0.0 %",1,3,10
"104",104,"0 - 12","0.0 %",1,0,12
"105",105,"7 - 8","0.0 %",1,7,8
"106",106,"5 - 9","0.0 %",1,5,9
"107",107,"7 - 7","0.0 %",1,7,7
"108",108,"7 - 6","0.0 %",1,7,6
"109",109,"14 - 1","0.0 %",1,14,1
"110",110,"15 - 0","0.0 %",1,15,0
"111",111,"9 - 4","0.0 %",1,9,4
